ip_address,nick_name,start_time,end_time,pic_id,response_no,conf_level,choice_reason,description
06195aa345d5f8889bc7de7dfef92e30,06195aa345d5f8889bc7de7dfef92e30,1600356997.91557,1600356997.916601,0,0,test,test,test
,2af19d1c3a2b5839949d2a2f16d06f67,1600377031.166921,1600377103.1064527,85,3,Certain,Different shape,emily-log-1
,8e6e5e3207f438fa7f71895a0a20ac1d,1600377066.1223314,1600377104.3476534,85,3,Certain,Different slope,emily-log-1
,7c859bbfc71d01bc9c413b15aa756d4f,1600377067.585876,1600377109.7336895,85,13,Uncertain,Different slope,emily-log-1
,2af19d1c3a2b5839949d2a2f16d06f67,1600377103.125512,1600377129.4185421,27,4,Certain,Different shape,emily-log-1
,751a571d3a5034f99d1a62c7370a1547,1600377069.8117492,1600377130.370375,85,17,Neutral,Different slope,emily-log-1
,751a571d3a5034f99d1a62c7370a1547,1600377069.8117492,1600377130.370375,85,3,Neutral,Different slope,emily-log-1
,7c859bbfc71d01bc9c413b15aa756d4f,1600377109.7532616,1600377139.0994415,27,5,Uncertain,Clustering,emily-log-1
,927a2334bbecfe1638727bffad4c599b,1600377073.8984065,1600377146.6044273,85,10,Uncertain,Different range,emily-log-1
,927a2334bbecfe1638727bffad4c599b,1600377146.6305006,1600377161.7508945,27,10,Certain,Different shape,emily-log-1
,7c859bbfc71d01bc9c413b15aa756d4f,1600377139.1163974,1600377167.7265139,46,13,Neutral,Different shape,emily-log-1
,2af19d1c3a2b5839949d2a2f16d06f67,1600377129.43585,1600377173.8567395,46,14,Uncertain,Clustering,emily-log-1
,751a571d3a5034f99d1a62c7370a1547,1600377130.3956447,1600377178.1282864,27,13,Certain,Different slope,emily-log-1
,7c859bbfc71d01bc9c413b15aa756d4f,1600377167.7477834,1600377190.557802,94,11,Uncertain,Clustering,emily-log-1
,2af19d1c3a2b5839949d2a2f16d06f67,1600377173.8775158,1600377197.4670434,94,4,Neutral,Outlier(s),emily-log-1
,8e6e5e3207f438fa7f71895a0a20ac1d,1600377104.368489,1600377204.3383791,27,12,Uncertain,Different shape,emily-log-1
,7c859bbfc71d01bc9c413b15aa756d4f,1600377190.5760906,1600377210.0131423,72,5,Uncertain,Different shape,emily-log-1
,751a571d3a5034f99d1a62c7370a1547,1600377178.152467,1600377220.0422256,46,2,Very Uncertain,Clustering,emily-log-1
,6858a1a2de55591893b588469be047fb,1600377216.307397,1600377221.5940626,85,2,Certain,Different slope,emily-log-1
,0e2c21782decf56b74b97a5879113691,1600377130.9865484,1600377224.7871995,85,3,Neutral,Different shape,emily-log-1
,8e6e5e3207f438fa7f71895a0a20ac1d,1600377204.3589246,1600377229.4103255,46,13,Neutral,Different slope,emily-log-1
,2af19d1c3a2b5839949d2a2f16d06f67,1600377197.4910963,1600377245.9360888,72,20,Neutral,Clustering,emily-log-1
,7c859bbfc71d01bc9c413b15aa756d4f,1600377210.0346885,1600377246.9997947,30,1,Uncertain,Different shape,emily-log-1
